AtlasCourseId,CourseReference,DORSCourseIdentifier,DORSForceContractIdentifier,AtlasVenueId,VenueName,DORSSiteIdentifier,CourseStartDateAndTime,CourseEndDateAndTime,CourseType,CourseEnabled,DORSSChemeName,DORSSchemeIdentifier,Notes
5747,WDU55,2666991,NULL,24,TAD Centre,152,2017-11-23 09:00,2017-11-23 12:15,What's Driving Us?,YES,What's Driving Us? Course,6,"NOTE ADDED: Sep 25 2017 10:18AM BY: Ellie Sumpton  Client Name: Mrs Annette Jepson, Id: 64932 - transferred into this course from course Id: 5603  ------------------------------------  ,NOTE ADDED: Sep 25 2017 10:18AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Sep 27 2017  3:07PM BY: LCrossman  Client Name: Nadeem Asif, Id: 64416 - transferred into this course from course Id: 5604  ------------------------------------  ,NOTE ADDED: Sep 27 2017  3:07PM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Oct  6 2017  1:31PM BY: Amanda Thomas  Client Name: Thomas Heath, Id: 64239 - transferred into this course from course Id: 5603  ------------------------------------  ,NOTE ADDED: Oct  6 2017  1:31PM BY: Amanda Thomas    ------------------------------------  "
5698,DC94,2666980,639,18,Signature,708,2017-11-23 08:30,2017-11-23 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5743,ST699,2666979,634,9,Durham Tees Valley Business Centre,709,2017-11-23 08:30,2017-11-23 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 27 2017  8:18AM BY: Joanne Coulter  Client Name: Natasha Plews, Id: 64633 - transferred into this course from course Id: 5622  ------------------------------------  ,NOTE ADDED: Sep 27 2017  8:18AM BY: Joanne Coulter    ------------------------------------  "
5742,HP462E,2666978,634,4,Brierton Sports Centre,548,2017-11-22 17:00,2017-11-22 21:00,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 25 2017  8:26AM BY: LCrossman  Client Name: Vivienne Roundsmith, Id: 63409 - transferred into this course from course Id: 5598  ------------------------------------  ,NOTE ADDED: Sep 25 2017  8:26AM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Sep 26 2017  3:27PM BY: LCrossman  Client Name: Ian Johnson, Id: 64817 - transferred into this course from course Id: 5644  ------------------------------------  ,NOTE ADDED: Sep 26 2017  3:27PM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Sep 27 2017  9:27AM BY: Ellie Sumpton  Client Name: Ms Ayesha Nash, Id: 64021 - transferred into this course from course Id: 5484  ------------------------------------  ,NOTE ADDED: Sep 27 2017  9:27AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Sep 27 2017 12:40PM BY: Amanda Thomas  Client Name: Alison Lodge, Id: 63898 - transferred into this course from course Id: 5642  ------------------------------------  ,NOTE ADDED: Sep 27 2017 12:40PM BY: Amanda Thomas    ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:26AM BY: LCrossman  Client Name: Sarah Austick, Id: 64943 - transferred into this course from course Id: 5615  ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:26AM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Oct  4 2017  3:36PM BY: LCrossman  Client Name: Miss Emma Deighan, Id: 65999 - transferred into this course from course Id: 5726  ------------------------------------  ,NOTE ADDED: Oct  4 2017  3:36PM BY: LCrossman    ------------------------------------  "
5697,DT151A,2666974,639,16,Morrison Trust Darlington,626,2017-11-22 13:30,2017-11-22 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5741,MB1154A,2666977,634,24,TAD Centre,152,2017-11-22 13:30,2017-11-22 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5696,DT151,2666973,639,16,Morrison Trust Darlington,626,2017-11-22 08:30,2017-11-22 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5740,MB1154,2666976,634,24,TAD Centre,152,2017-11-22 08:30,2017-11-22 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  4 2017  1:32PM BY: LCrossman  Client Name: Mr Jack McSorley, Id: 66030 - transferred out of this course on to Course Id: 5728  ------------------------------------  ,NOTE ADDED: Oct  4 2017  1:32PM BY: LCrossman    ------------------------------------  "
5767,PL103E,2667865,639,27,The Pavillion Peterlee,625,2017-11-21 17:00,2017-11-21 21:00,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5695,GH40A,2666972,639,26,The Greenhouse,672,2017-11-21 13:30,2017-11-21 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
